,pidSzn,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,MIN,GP,Season,PFD,DRIVE_PF,DRIVE_PF_PCT,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
160,203507_2014-15,0.0,0.0,0.0,31.8,81,2014-15,3.6,0.6,0.09,2.19,1.14,1.04,4.19,4.58,3.84
161,203540_2014-15,0.0,0.0,0.0,10.1,21,2014-15,0.4,0.0,0.0,0.71,0.38,0.33,4.28,4.64,3.93
162,201175_2014-15,0.0,0.0,0.0,12.4,74,2014-15,1.1,0.0,0.143,0.81,0.4,0.41,3.99,4.01,3.98
163,203318_2014-15,0.0,0.0,0.0,8.6,5,2014-15,1.4,0.0,0.0,0.62,0.33,0.28,4.37,4.54,4.18
164,203922_2014-15,0.0,0.0,0.0,7.5,35,2014-15,0.5,0.1,0.073,0.54,0.29,0.25,4.37,4.65,4.1
165,201609_2014-15,0.0,0.0,0.0,34.3,78,2014-15,2.9,0.3,0.025,2.51,1.34,1.17,4.45,4.84,4.07
166,202330_2014-15,0.0,0.0,0.0,34.9,76,2014-15,5.0,1.3,0.127,2.43,1.38,1.05,4.23,4.65,3.78
167,203476_2014-15,0.0,0.0,0.0,30.4,73,2014-15,2.8,0.1,0.214,1.97,1.01,0.96,3.9,3.93,3.87
168,203511_2014-15,0.0,0.0,0.0,6.5,8,2014-15,0.1,0.0,0.0,0.46,0.26,0.2,4.35,4.6,4.06
169,202328_2014-15,0.0,0.0,0.0,31.4,69,2014-15,4.1,0.2,0.102,2.07,1.1,0.97,4.01,4.14,3.87
170,202962_2014-15,0.0,0.0,0.0,8.8,42,2014-15,0.6,0.0,0.0,0.56,0.29,0.27,3.93,4.12,3.74
171,201880_2014-15,0.0,0.0,0.0,3.9,17,2014-15,0.2,0.0,0.0,0.26,0.15,0.11,4.02,4.16,3.87
172,202349_2014-15,0.0,0.0,0.0,24.6,82,2014-15,1.0,0.2,0.029,1.69,0.9,0.78,4.18,4.41,3.94
173,203084_2014-15,0.0,0.0,0.0,28.6,82,2014-15,1.5,0.2,0.111,2.14,1.1,1.05,4.49,5.01,4.05
174,202355_2014-15,0.0,0.0,0.0,24.1,48,2014-15,3.1,0.0,0.2,1.56,0.83,0.73,3.88,4.0,3.74
175,2045_2014-15,0.0,0.0,0.0,11.5,62,2014-15,0.3,0.0,0.07,0.78,0.4,0.37,4.11,4.28,3.94
176,203156_2014-15,0.0,0.0,0.0,19.4,73,2014-15,1.6,0.0,0.069,1.36,0.73,0.63,4.26,4.5,4.02
177,201611_2014-15,0.0,0.0,0.0,26.5,24,2014-15,1.0,0.1,0.045,1.75,0.96,0.79,4.01,4.4,3.64
178,203138_2014-15,0.0,0.0,0.0,25.3,71,2014-15,1.0,0.2,0.04,1.84,0.99,0.86,4.43,4.76,4.1
179,203546_2014-15,0.0,0.0,0.0,6.5,30,2014-15,0.3,0.0,0.0,0.47,0.25,0.22,4.39,4.62,4.14
180,101133_2014-15,0.0,0.0,0.0,19.0,61,2014-15,1.8,0.0,0.0,1.28,0.67,0.61,4.09,4.18,4.0
181,202697_2014-15,0.0,0.0,0.0,25.2,62,2014-15,1.5,0.1,0.046,1.8,0.97,0.83,4.34,4.59,4.07
182,203477_2014-15,0.0,0.0,0.0,20.2,47,2014-15,1.3,0.2,0.053,1.42,0.76,0.66,4.31,4.59,4.03
183,202738_2014-15,0.0,0.0,0.0,26.1,67,2014-15,4.1,1.1,0.111,1.74,0.92,0.81,4.04,4.48,3.64
184,202397_2014-15,0.0,0.0,0.0,15.3,55,2014-15,1.2,0.2,0.018,1.14,0.63,0.51,4.54,4.98,4.09
185,200826_2014-15,0.0,0.0,0.0,17.9,77,2014-15,1.5,0.3,0.04,1.32,0.71,0.61,4.46,4.85,4.07
186,201581_2014-15,0.0,0.0,0.0,19.6,73,2014-15,1.9,0.1,0.17,1.35,0.7,0.65,4.19,4.48,3.91
187,200755_2014-15,0.0,0.0,0.0,31.3,78,2014-15,2.1,0.2,0.064,2.34,1.24,1.1,4.56,5.02,4.13
188,2747_2014-15,0.0,0.0,0.0,30.1,70,2014-15,1.2,0.2,0.081,2.01,1.1,0.91,4.07,4.32,3.79
189,203960_2014-15,0.0,0.0,0.0,15.5,74,2014-15,1.1,0.3,0.062,1.16,0.61,0.54,4.56,4.86,4.26
