,pidSzn,SCREEN_ASSISTS,SCREEN_AST_PTS,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCHES,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCHES,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCHES,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS_PCT,PASSES_MADE,PASSES_RECEIVED,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,MIN,GP,Season,AST_PCT,AST_TO,AST_RATIO,TOV
42,203108_2014-15,0.0,0.0,0.9,0.311,0.1,0.044,0.1,0.044,2.8,0.1,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.421,0.0,0.0,0.1,0.105,1.2,0.3,0.0,0.0,0.6,0.038,6.6,5.2,0.1,0.333,0.0,0.0,0.1,0.333,9.6,5.9,0.2,1.48,0.42,9.9,16,2014-15,0.039,0.67,8.3,0.4
43,202687_2014-15,0.0,0.0,1.3,0.273,0.1,0.023,0.3,0.058,4.8,0.1,0.185,0.0,0.037,0.0,0.111,0.4,0.7,0.553,0.1,0.085,0.1,0.059,1.3,0.3,0.0,0.0,0.7,0.031,8.0,6.2,0.0,0.667,0.0,0.0,0.0,0.333,13.2,8.5,0.3,1.49,0.36,19.4,64,2014-15,0.021,0.31,4.8,0.8
44,201933_2014-15,0.0,0.0,2.3,0.322,0.3,0.039,0.3,0.044,7.2,3.9,0.364,0.8,0.073,0.5,0.047,10.6,6.4,0.615,1.0,0.16,0.3,0.028,10.5,5.3,0.4,0.5,9.8,0.095,55.6,57.3,0.4,0.205,0.1,0.055,0.2,0.082,80.7,54.8,3.0,2.2,1.09,35.2,67,2014-15,0.246,2.33,19.3,2.3
45,202711_2014-15,0.0,0.0,0.3,0.191,0.1,0.028,0.1,0.035,1.8,0.1,0.216,0.0,0.059,0.1,0.078,0.7,0.3,0.364,0.0,0.1,0.0,0.036,0.7,0.9,0.2,0.1,2.0,0.06,14.6,17.3,0.8,0.367,0.2,0.102,0.2,0.084,24.1,19.0,0.9,2.12,1.25,23.8,78,2014-15,0.057,0.87,8.9,1.0
46,2564_2014-15,0.0,0.0,1.1,0.41,0.1,0.043,0.1,0.038,2.6,1.3,0.312,0.5,0.122,0.3,0.074,4.2,1.2,0.711,0.1,0.089,0.1,0.07,1.8,2.9,0.5,0.3,5.8,0.068,42.3,33.2,0.9,0.282,0.3,0.094,0.2,0.075,53.4,34.0,1.6,1.8,0.81,24.5,81,2014-15,0.181,1.85,22.6,1.6
47,203078_2014-15,0.0,0.0,0.5,0.337,0.0,0.034,0.0,0.022,1.4,0.1,0.286,0.0,0.143,0.0,0.0,0.2,0.6,0.506,0.2,0.25,0.0,0.025,1.3,3.1,0.4,0.5,6.3,0.083,36.9,45.8,1.5,0.303,0.4,0.072,0.4,0.078,55.1,43.5,2.5,2.72,2.13,33.5,63,2014-15,0.144,1.58,15.7,2.0
48,201148_2014-15,0.0,0.0,1.4,0.278,0.2,0.036,0.2,0.034,5.1,0.2,0.3,0.0,0.025,0.0,0.025,0.5,2.0,0.56,0.1,0.052,0.1,0.026,3.6,0.5,0.0,0.1,1.4,0.032,17.0,13.0,0.1,0.103,0.0,0.0,0.0,0.051,23.6,13.5,0.6,1.53,0.41,19.3,75,2014-15,0.044,1.21,8.5,0.5
49,101138_2014-15,0.0,0.0,1.5,0.345,0.2,0.052,0.3,0.064,4.4,0.6,0.312,0.1,0.051,0.2,0.083,1.9,1.7,0.533,0.1,0.08,0.1,0.035,3.2,1.3,0.1,0.2,3.0,0.051,24.9,22.6,0.5,0.267,0.1,0.062,0.1,0.068,36.2,23.1,1.1,1.81,0.72,23.5,82,2014-15,0.091,1.25,10.8,1.0
50,203561_2014-15,0.0,0.0,1.2,0.379,0.1,0.023,0.2,0.069,3.2,0.3,0.2,0.3,0.175,0.1,0.1,1.5,1.8,0.578,0.1,0.042,0.2,0.072,3.1,1.1,0.1,0.0,2.7,0.047,23.9,17.6,0.3,0.25,0.1,0.094,0.1,0.063,31.1,18.1,0.7,1.44,0.34,15.7,27,2014-15,0.123,1.03,14.2,1.1
51,201943_2014-15,0.0,0.0,0.3,0.306,0.0,0.028,0.1,0.083,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.462,0.0,0.083,0.0,0.038,0.6,6.6,0.6,1.0,13.3,0.122,54.6,67.3,4.3,0.392,1.4,0.124,0.7,0.064,74.8,24.2,7.3,5.84,6.28,28.6,41,2014-15,0.384,3.02,28.2,2.2
52,202688_2014-15,0.0,0.0,0.2,0.233,0.0,0.033,0.1,0.117,1.0,0.1,0.5,0.0,0.0,0.0,0.2,0.2,0.4,0.5,0.1,0.148,0.1,0.13,0.9,5.2,0.5,0.6,10.8,0.1,52.3,63.3,4.4,0.432,1.2,0.119,0.9,0.087,73.7,28.0,6.3,5.1,5.45,32.3,63,2014-15,0.272,1.75,22.0,3.0
53,201575_2014-15,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.8,0.044,8.2,7.8,0.2,0.269,0.1,0.115,0.1,0.115,10.8,7.9,0.4,2.0,1.18,8.2,33,2014-15,0.063,1.09,14.6,0.3
