,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,Season
321,203937,Kyle Anderson,1610612763,MEM,69,36,33,27.35,27.35,10601.01,2.01,1.06,0.95,4.18,4.5,3.89,2020-21
322,1629657,Kyle Guy,1610612758,SAC,31,11,20,7.59,7.59,3302.29,0.63,0.33,0.29,4.6,5.0,4.21,2020-21
323,1628398,Kyle Kuzma,1610612747,LAL,68,40,28,28.74,28.74,11582.19,2.19,1.16,1.03,4.28,4.47,4.07,2020-21
324,200768,Kyle Lowry,1610612761,TOR,46,15,31,34.82,34.82,12817.63,2.43,1.32,1.11,3.9,4.36,3.46,2020-21
325,202681,Kyrie Irving,1610612751,BKN,54,36,18,34.93,34.93,12999.69,2.46,1.32,1.14,3.98,4.38,3.6,2020-21
326,200746,LaMarcus Aldridge,1610612751,BKN,26,15,11,25.94,25.94,9510.46,1.8,0.97,0.84,3.93,4.13,3.72,2020-21
327,1630163,LaMelo Ball,1610612766,CHA,51,23,28,28.8,28.8,12273.75,2.32,1.26,1.06,4.54,5.04,4.06,2020-21
328,1630205,Lamar Stevens,1610612739,CLE,40,13,27,12.47,12.47,5075.5,0.96,0.5,0.46,4.3,4.52,4.07,2020-21
329,1629013,Landry Shamet,1610612751,BKN,61,39,22,22.99,22.99,9568.18,1.81,1.0,0.81,4.45,5.03,3.9,2020-21
330,204038,Langston Galloway,1610612756,PHX,40,29,11,10.94,10.94,4551.3,0.86,0.47,0.39,4.44,4.73,4.15,2020-21
331,1626204,Larry Nance Jr.,1610612739,CLE,35,13,22,31.18,31.18,11894.11,2.25,1.22,1.03,4.06,4.25,3.86,2020-21
332,1628374,Lauri Markkanen,1610612741,CHI,51,20,31,25.83,25.83,10372.57,1.96,1.1,0.87,4.3,4.77,3.82,2020-21
333,2544,LeBron James,1610612747,LAL,45,30,15,33.42,33.42,11244.07,2.13,1.15,0.98,3.58,3.88,3.29,2020-21
334,1629022,Lonnie Walker IV,1610612759,SAS,60,28,32,25.36,25.36,9750.65,1.85,0.99,0.86,4.15,4.37,3.93,2020-21
335,1628366,Lonzo Ball,1610612740,NOP,55,23,32,31.77,31.77,12740.27,2.41,1.32,1.09,4.3,4.75,3.85,2020-21
336,101150,Lou Williams,1610612737,ATL,66,44,22,21.56,21.56,7897.18,1.5,0.83,0.67,3.89,4.26,3.51,2020-21
337,1629663,Louis King,1610612758,SAC,6,3,3,14.22,14.22,5929.0,1.12,0.61,0.51,4.43,4.77,4.21,2020-21
338,1629652,Luguentz Dort,1610612760,OKC,52,18,34,29.68,29.68,11406.81,2.16,1.16,1.0,4.12,4.4,3.84,2020-21
339,1629029,Luka Doncic,1610612742,DAL,66,40,26,34.28,34.28,12227.61,2.32,1.33,0.99,3.87,4.35,3.38,2020-21
340,1629677,Luka Samanic,1610612759,SAS,33,14,19,9.34,9.34,3957.55,0.75,0.41,0.34,4.51,4.94,4.08,2020-21
341,1628379,Luke Kennard,1610612746,LAC,63,44,19,19.56,19.56,7632.84,1.45,0.8,0.65,4.22,4.52,3.88,2020-21
342,1628436,Luke Kornet,1610612738,BOS,31,13,18,11.21,11.21,4395.48,0.83,0.46,0.37,4.2,4.7,3.74,2020-21
343,1630201,Malachi Flynn,1610612761,TOR,47,21,26,19.73,19.73,8001.87,1.52,0.81,0.7,4.3,4.61,3.99,2020-21
344,1627763,Malcolm Brogdon,1610612754,IND,56,27,29,34.46,34.46,13653.05,2.59,1.44,1.14,4.21,4.77,3.65,2020-21
345,1627736,Malik Beasley,1610612750,MIN,37,8,29,32.81,32.81,13396.76,2.54,1.44,1.1,4.33,4.84,3.81,2020-21
346,1630238,Malik Fitts,1610612746,LAC,3,3,0,3.61,3.61,1457.0,0.28,0.15,0.13,4.01,3.52,4.67,2020-21
347,1628370,Malik Monk,1610612766,CHA,42,19,23,20.91,20.91,8362.9,1.58,0.89,0.7,4.25,4.8,3.72,2020-21
