,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
90,L. Aldridge | N. Batum | C. Kaman | D. Lillard | C. McCollum,POR,2014-15,16,56.7,108,103,89.4,+7.5,+8.1,+.040,+3.3,+6.4,+.036,+.054,-6.5,-3.9,-.161,+11.8
91,T. Allen | M. Conley | M. Gasol | T. Prince | Z. Randolph,MEM,2014-15,10,86.5,162,163,90.2,+3.3,+10.4,-.009,0.0,-9.1,+.209,-0.013,+5.1,+3.3,+.089,+11.7
92,B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,2014-15,44,263.6,510,508,92.7,+2.2,-4.1,+.045,+1.9,+0.5,+.084,+.058,+5.4,+6.2,+.034,+11.7
93,G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,2014-15,18,123.9,236,242,92.6,+6.9,+4.0,+.056,-1.0,-3.2,+.007,+.048,-1.3,-4.9,+.112,+11.5
94,J. Butler | P. Gasol | J. Noah | D. Rose | T. Snell,CHI,2014-15,14,120.8,240,241,95.5,+2.3,+2.9,+.010,+2.5,+3.8,+.049,+.022,+4.2,+2.2,+.139,+11.3
95,T. Ariza | P. Beverley | J. Harden | D. Howard | D. Motiejūnas,HOU,2014-15,25,360.1,713,718,95.4,+2.4,-1.2,+.034,+5.4,+9.7,+.068,+.067,+1.1,+3.9,-.084,+11.2
96,M. Bonner | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,2014-15,21,141.0,276,276,94.0,+3.3,-2.5,+.049,+4.3,+7.6,+.052,+.075,+0.4,+1.1,-.037,+11.2
97,Ö. Aşık | D. Cunningham | A. Davis | T. Evans | E. Gordon,NOP,2014-15,20,209.6,393,389,89.6,+4.2,+1.1,+.040,-0.3,-7.3,+.151,+.038,+3.2,+4.4,-.004,+11.2
98,D. Carroll | A. Horford | K. Korver | P. Millsap | D. Schröder,ATL,2014-15,13,104.0,201,202,93.0,+6.7,-2.1,+.089,-1.4,-1.8,-.027,+.082,-0.9,+0.6,-.070,+11.0
99,R. Butler | N. Hilário | A. Miller | O. Porter | K. Séraphin,WAS,2014-15,13,67.0,118,119,85.0,+16.4,+9.3,+.125,-1.7,-12.5,+.160,+.114,-20.1,-20.1,-.424,+11.0
100,T. Chandler | M. Ellis | J. Nelson | D. Nowitzki | C. Parsons,DAL,2014-15,21,253.8,500,498,94.4,+1.8,+1.4,+.012,0.0,+3.3,-.049,+.011,+7.2,+5.9,+.149,+10.8
101,L. Aldridge | A. Crabbe | D. Lillard | R. Lopez | W. Matthews,POR,2014-15,4,52.9,103,105,94.4,+2.8,+2.7,+.016,+2.1,-0.6,+.108,+.026,+3.1,+2.2,+.090,+10.7
