,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
13,A. Baynes | B. Diaw | M. Ginóbili | K. Leonard,SAS,2014-15,38,105.0,207,212,95.8,+9.0,+10.2,+.052,+5.4,+8.1,+.126,+.079,-8.7,-11.4,-.010,+14.8
14,P. Antić | K. Korver | P. Millsap | J. Teague,ATL,2014-15,40,214.4,455,430,99.1,+2.1,+4.2,+.001,+3.0,+9.1,-.020,+.016,+7.5,+11.2,-.018,+14.8
15,J. Holiday | A. Iguodala | D. Lee | S. Livingston,GSW,2014-15,18,112.9,220,223,94.2,+5.5,-15.9,+.133,-2.6,-11.9,+.071,+.125,+6.5,+10.7,-.044,+14.8
16,A. Afflalo | D. Gallinari | T. Lawson | T. Mozgov,DEN,2014-15,15,105.3,197,200,90.5,+5.1,-3.2,+.075,+3.7,-0.7,+.176,+.097,+0.8,+3.4,-.062,+14.7
17,P. Gasol | J. Noah | D. Rose | T. Snell,CHI,2014-15,20,181.9,360,360,95.0,+3.6,+1.4,+.032,+3.9,+4.7,+.091,+.053,+3.6,+1.1,+.153,+14.7
18,T. Hansbrough | J. Johnson | P. Patterson | L. Williams,TOR,2014-15,46,301.4,571,575,91.3,+2.2,+1.5,+.017,+3.0,+7.2,+.019,+.033,+7.1,+7.0,+.076,+14.6
19,A. Brooks | P. Gasol | N. Mirotić | T. Snell,CHI,2014-15,30,169.5,346,330,95.7,+4.2,-7.1,+.081,+2.8,-1.4,+.112,+.101,+3.4,-1.4,+.153,+14.6
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,T. Duncan | M. Ginóbili | D. Green | C. Joseph,SAS,2014-15,26,117.8,230,240,95.8,+5.1,+3.8,+.038,+3.9,+0.7,+.133,+.057,+0.4,+4.6,-.102,+14.5
23,L. James | K. Love | J. Smith | T. Thompson,CLE,2014-15,30,123.7,227,222,87.1,+0.5,+1.0,+.001,+2.0,+7.8,-.021,+.011,+11.5,+14.9,+.007,+14.5
24,M. Gortat | K. Humphries | O. Porter | J. Wall,WAS,2014-15,36,147.3,298,297,96.9,+6.6,+0.4,+.072,-2.7,-7.8,-.016,+.057,+4.0,+6.6,-.025,+14.4
25,A. Johnson | P. Patterson | G. Vásquez | L. Williams,TOR,2014-15,36,125.9,257,257,98.0,+1.9,+4.3,.000,+6.6,+12.8,+.074,+.034,+3.9,+3.9,+.035,+14.4
26,A. Jefferson | M. Kidd-Gilchrist | M. Williams | M. Williams,CHO,2014-15,16,171.8,333,333,93.1,+8.7,+6.0,+.068,-0.9,-1.5,-.018,+.060,-2.1,-1.8,-.036,+14.4
27,Ö. Aşık | T. Evans | E. Gordon | J. Holiday,NOP,2014-15,13,182.0,349,356,93.0,+7.6,+9.1,+.039,+2.7,+2.3,+.107,+.050,-3.6,-2.6,-.064,+14.3
28,P. Antić | D. Carroll | K. Korver | J. Teague,ATL,2014-15,31,137.5,287,282,99.3,+2.9,+2.5,+.022,+2.3,+6.2,-.010,+.034,+6.3,+9.0,-.002,+14.3
29,N. Calathes | V. Carter | J. Green | K. Koufos,MEM,2014-15,23,113.5,213,216,90.7,+9.3,+5.0,+.084,-0.8,-5.7,+.031,+.077,-3.5,-2.5,-.076,+14.3
30,D. Collison | D. Cousins | B. McLemore | J. Thompson,SAC,2014-15,31,470.4,939,935,95.6,+5.5,+0.6,+.061,-0.1,-5.3,+.091,+.059,+3.3,+3.0,+.046,+14.2
