,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
91,26,POR,NBA,SG,27,659,10.9,.549,.387,.189,1.2,6.0,3.6,7.1,1.5,0.9,7.5,16.3,,0.6,0.5,1.1,.077,,-1.7,-0.3,-2.0,0.0,2018-19,203918
92,27,POR,NBA,SF,21,619,12.2,.625,.413,.157,1.7,10.4,6.1,7.0,1.3,0.6,9.4,13.9,,0.9,0.2,1.1,.084,,-0.4,-0.5,-0.9,0.2,2019-20,203918
93,28,POR,NBA,SF,38,726,5.1,.436,.418,.060,2.6,8.4,5.4,8.8,1.3,0.5,13.1,14.1,,-0.7,0.0,-0.7,-0.044,,-5.7,-2.0,-7.6,-1.0,2020-21,203918
94,,,NBA,,379,10052,12.6,.537,.433,.189,1.5,10.3,5.9,11.2,1.4,0.6,9.0,20.4,,8.9,7.5,16.4,.078,,-0.6,-0.5,-1.0,2.4,Career,203918
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203918
96,,UTA,NBA,,227,6282,13.6,.537,.463,.192,1.4,11.3,6.4,12.4,1.4,0.6,9.7,22.5,,6.0,6.6,12.6,.097,,0.2,-0.2,0.0,3.2,4 seasons,203918
97,,POR,NBA,,86,2004,9.2,.534,.405,.136,1.8,8.2,5.0,7.7,1.4,0.6,9.9,14.8,,0.8,0.6,1.5,.035,,-2.7,-1.0,-3.7,-0.9,3 seasons,203918
98,,CLE,NBA,,66,1766,12.9,.540,.342,.224,1.6,9.1,5.2,10.5,1.5,0.5,5.7,18.9,,2.1,0.2,2.3,.063,,-0.9,-1.0,-1.9,0.1,2 seasons,203918
99,19,OKC,NBA,PG,38,1014,7.7,.505,.562,.123,1.4,10.8,6.1,18.2,1.7,0.3,19.2,16.3,,-0.8,1.0,0.2,.007,,-4.6,-0.4,-5.1,-0.8,2020-21,1630177
100,,,NBA,,38,1014,7.7,.505,.562,.123,1.4,10.8,6.1,18.2,1.7,0.3,19.2,16.3,,-0.8,1.0,0.2,.007,,-4.6,-0.4,-5.1,-0.8,Career,1630177
101,19,LAL,NBA,SF,79,2279,8.5,.474,.273,.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,,-1.0,0.7,-0.3,-0.007,,-3.0,-1.4,-4.4,-1.4,2016-17,1627742
102,20,LAL,NBA,SF,59,1975,13.8,.536,.138,.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,,1.0,1.8,2.8,.068,,-0.9,-0.3,-1.2,0.4,2017-18,1627742
103,21,LAL,NBA,SF,52,1760,13.4,.555,.129,.396,2.5,13.0,7.8,12.9,0.7,1.4,13.1,23.2,,0.6,1.4,2.0,.055,,-1.3,-0.7,-2.0,0.0,2018-19,1627742
104,22,NOP,NBA,PF,62,2104,18.8,.587,.350,.336,2.6,16.6,9.6,19.3,1.3,1.5,13.1,28.1,,3.3,1.8,5.1,.115,,2.5,-0.4,2.1,2.2,2019-20,1627742
105,23,NOP,NBA,SF,43,1475,20.5,.596,.352,.284,1.9,14.5,8.2,21.5,0.9,2.1,10.7,28.1,,3.6,0.6,4.2,.137,,4.2,-1.3,2.8,1.8,2020-21,1627742
106,,,NBA,,295,9593,14.6,.554,.258,.339,2.6,14.1,8.3,16.0,1.1,1.6,12.9,23.3,,7.4,6.3,13.8,.069,,0.1,-0.8,-0.8,2.9,Career,1627742
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627742
108,,LAL,NBA,,190,6014,11.7,.523,.177,.361,2.8,13.1,7.9,13.6,1.0,1.5,13.5,20.4,,0.6,3.9,4.5,.036,,-1.8,-0.9,-2.7,-1.0,3 seasons,1627742
109,,NOP,NBA,,105,3579,19.5,.591,.351,.314,2.3,15.8,9.0,20.2,1.2,1.7,12.1,28.1,,6.9,2.4,9.3,.124,,3.2,-0.8,2.4,4.0,2 seasons,1627742
110,20,PHI,NBA,C,75,2311,15.0,.493,.000,.352,8.3,21.0,14.3,9.8,2.9,5.0,16.2,17.0,,-0.2,4.2,4.0,.083,,-2.6,2.3,-0.3,1.0,2014-15,203457
111,21,PHI,NBA,C,67,1965,16.2,.544,.003,.387,8.2,22.2,15.0,10.5,2.9,3.9,18.7,18.8,,0.3,2.8,3.0,.074,,-1.7,1.5,-0.2,0.9,2015-16,203457
112,22,TOT,NBA,C,51,1047,20.4,.622,.003,.359,9.8,22.3,15.9,8.1,3.1,4.0,12.5,17.6,,2.1,1.9,4.0,.181,,0.1,2.3,2.4,1.2,2016-17,203457
113,22,PHI,NBA,C,29,564,20.8,.634,.006,.360,9.0,19.2,14.1,9.0,3.7,3.7,12.5,17.8,,1.1,1.0,2.2,.184,,0.4,2.8,3.2,0.7,2016-17,203457
114,22,DAL,NBA,C,22,483,19.8,.606,.000,.358,10.8,26.0,18.0,7.0,2.4,4.5,12.4,17.3,,0.9,0.9,1.8,.178,,-0.2,1.7,1.4,0.4,2016-17,203457
115,23,DAL,NBA,C,30,472,16.2,.558,.010,.267,10.9,29.3,19.8,6.3,3.3,4.1,18.1,13.8,,0.4,1.0,1.3,.135,,-2.2,2.7,0.5,0.3,2017-18,203457
