"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"Cory Joseph","josepco01",TRUE,"2012-2021",10,"2011-12","2020-21","https://www.basketball-reference.com/players/j/josepco01.html"
"Cotton Nash","nashco01",FALSE,"1965-1968",4,"1964-65","1967-68","https://www.basketball-reference.com/players/n/nashco01.html"
"Coty Clarke","clarkco01",FALSE,"2016",1,"2015-16","2015-16","https://www.basketball-reference.com/players/c/clarkco01.html"
"Coulby Gunther","gunthco01",FALSE,"1947-1949",3,"1946-47","1948-49","https://www.basketball-reference.com/players/g/gunthco01.html"
"Courtney Alexander","alexaco02",FALSE,"2001-2003",3,"2000-01","2002-03","https://www.basketball-reference.com/players/a/alexaco02.html"
"Courtney Fells","fellsco01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/f/fellsco01.html"
"Courtney Fortson","fortsco01",FALSE,"2012",1,"2011-12","2011-12","https://www.basketball-reference.com/players/f/fortsco01.html"
"Courtney Lee","leeco01",TRUE,"2009-2020",12,"2008-09","2019-20","https://www.basketball-reference.com/players/l/leeco01.html"
"Courtney Sims","simsco01",FALSE,"2008-2009",2,"2007-08","2008-09","https://www.basketball-reference.com/players/s/simsco01.html"
"Cozell McQueen","mcqueco01",FALSE,"1987",1,"1986-87","1986-87","https://www.basketball-reference.com/players/m/mcqueco01.html"
"Craig Brackins","brackcr01",FALSE,"2011-2012",2,"2010-11","2011-12","https://www.basketball-reference.com/players/b/brackcr01.html"
"Craig Dill","dillcr01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/d/dillcr01.html"
"Craig Dykema","dykemcr01",FALSE,"1982",1,"1981-82","1981-82","https://www.basketball-reference.com/players/d/dykemcr01.html"
"Craig Ehlo","ehlocr01",FALSE,"1984-1997",14,"1983-84","1996-97","https://www.basketball-reference.com/players/e/ehlocr01.html"
"Craig Hodges","hodgecr01",FALSE,"1983-1992",10,"1982-83","1991-92","https://www.basketball-reference.com/players/h/hodgecr01.html"
"Craig Neal","nealcr01",FALSE,"1989-1991",3,"1988-89","1990-91","https://www.basketball-reference.com/players/n/nealcr01.html"
"Craig Raymond","raymocr01",FALSE,"1969-1973",5,"1968-69","1972-73","https://www.basketball-reference.com/players/r/raymocr01.html"
"Craig Shelton","sheltcr01",FALSE,"1981-1982",2,"1980-81","1981-82","https://www.basketball-reference.com/players/s/sheltcr01.html"
"Craig Smith","smithcr01",FALSE,"2007-2012",6,"2006-07","2011-12","https://www.basketball-reference.com/players/s/smithcr01.html"
"Craig Spitzer","spitzcr01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/s/spitzcr01.html"
"Cristiano Felício","feliccr01",TRUE,"2016-2021",6,"2015-16","2020-21","https://www.basketball-reference.com/players/f/feliccr01.html"
"Cuonzo Martin","marticu01",FALSE,"1996-1997",2,"1995-96","1996-97","https://www.basketball-reference.com/players/m/marticu01.html"
"Curly Armstrong","armstcu01",FALSE,"1949-1951",3,"1948-49","1950-51","https://www.basketball-reference.com/players/a/armstcu01.html"
"Curtis Borchardt","borchcu01",FALSE,"2004-2005",2,"2003-04","2004-05","https://www.basketball-reference.com/players/b/borchcu01.html"
"Curtis Kitchen","kitchcu01",FALSE,"1987",1,"1986-87","1986-87","https://www.basketball-reference.com/players/k/kitchcu01.html"
"Curtis Perry","perrycu01",FALSE,"1971-1978",8,"1970-71","1977-78","https://www.basketball-reference.com/players/p/perrycu01.html"
"Curtis Rowe","rowecu01",FALSE,"1972-1979",8,"1971-72","1978-79","https://www.basketball-reference.com/players/r/rowecu01.html"
