,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
73,J. Jerebko | M. Smart,BOS,2014-15,27,272.4,519,533,92.7,+6.2,+10.4,+.019,+5.9,+13.7,+.066,+.047,-3.1,-5.8,+.047,+15.1,"('jerebjo01', 'smartma01')"
74,L. Deng | J. McRoberts,MIA,2014-15,15,132.5,246,241,88.2,+6.1,-0.2,+.070,+1.9,-5.5,+.152,+.081,+0.9,+2.4,-.036,+15.0,"('denglu01', 'mcrobjo01')"
75,A. Afflalo | D. Wright,POR,2014-15,17,129.5,253,254,94.0,+5.3,+1.5,+.050,+2.0,+10.0,-.050,+.060,+2.4,+2.1,+.037,+15.0,"('afflaar01', 'wrighdo01')"
76,L. Datome | J. Jerebko,DET,2014-15,20,158.4,310,302,92.7,+8.8,+14.0,+.034,+3.3,+11.3,-.011,+.044,-6.0,-10.1,+.050,+15.0,"('datomlu01', 'jerebjo01')"
77,K. Marshall | K. Middleton,MIL,2014-15,21,183.7,347,351,91.2,+6.2,-1.3,+.079,+3.8,-2.3,+.181,+.102,-1.3,-4.3,+.087,+15.0,"('marshke01', 'middlkh01')"
78,I. Shumpert | T. Thompson,CLE,2014-15,38,638.3,1206,1237,91.9,+1.8,-0.3,+.022,+7.3,+10.5,+.125,+.063,+4.0,+3.8,+.054,+15.0,"('shumpim01', 'thomptr01')"
79,D. Jordan | C. Paul,LAC,2014-15,82,2544.0,5017,5024,94.7,+5.8,+1.2,+.060,+2.4,+2.3,+.057,+.072,+0.9,+3.7,-.068,+14.9,"('jordade01', 'paulch01')"
80,S. Curry | J. Holiday,GSW,2014-15,36,193.2,399,410,100.5,+8.2,+5.6,+.065,+4.7,+10.9,+.023,+.088,-6.4,-10.2,+.054,+14.8,"('curryst01', 'holidju01')"
81,C. Joseph | T. Splitter,SAS,2014-15,34,288.2,554,555,92.3,+6.7,+2.9,+.061,+2.0,+1.3,+.073,+.071,-0.7,-0.1,-.026,+14.8,"('josepco01', 'splitti01')"
82,P. Millsap | T. Sefolosha,ATL,2014-15,47,456.7,892,913,94.8,+3.5,+1.4,+.033,-0.3,-0.9,.000,+.030,+8.2,+8.1,+.093,+14.8,"('millspa01', 'sefolth01')"
83,C. Paul | J. Redick,LAC,2014-15,78,2149.8,4300,4265,95.6,+5.4,0.0,+.062,+2.7,+3.4,+.055,+.077,+1.2,+4.0,-.067,+14.7,"('paulch01', 'redicjj01')"
84,T. Parker | T. Splitter,SAS,2014-15,41,520.9,1018,1026,94.2,+6.2,+2.3,+.057,+1.1,0.0,+.065,+.062,+1.2,+0.5,+.040,+14.7,"('parketo01', 'splitti01')"
85,L. Aldridge | M. Leonard,POR,2014-15,21,201.7,403,400,95.6,+3.4,-3.9,+.059,+4.4,+3.3,+.128,+.086,+3.3,+0.1,+.132,+14.6,"('aldrila01', 'leoname01')"
88,A. Anderson | S. Karasev,BRK,2014-15,21,133.6,267,275,97.4,+5.1,+2.9,+.046,-1.3,-5.9,+.021,+.037,+5.7,+6.3,+.056,+14.6,"('anderal01', 'karasse01')"
