,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
98,M. Dellavedova | L. James | M. Miller | T. Thompson,CLE,2014-15,11,66.5,124,121,88.4,+2.2,+3.5,+.005,+5.4,+10.7,+.039,+.033,+17.5,+19.9,+.092,+27.4,"('dellama01', 'jamesle01', 'millemi01', 'thomptr01')"
99,J. Crowder | J. Jerebko | K. Olynyk | P. Pressey,BOS,2014-15,11,49.0,97,95,94.0,+6.6,+18.9,+.001,+11.3,+23.3,+.237,+.056,+2.8,-4.6,+.311,+27.4,"('crowdja01', 'jerebjo01', 'olynyke01', 'pressph01')"
100,B. Biyombo | G. Henderson | M. Kidd-Gilchrist | B. Roberts,CHO,2014-15,6,57.3,103,103,86.3,+9.7,+21.4,+.014,+1.9,-1.0,+.179,+.021,+5.8,+5.8,+.051,+27.2,"('biyombi01', 'hendege02', 'kiddgmi01', 'roberbr01')"
101,T. Black | J. Harden | D. Motiejūnas | J. Terry,HOU,2014-15,14,81.6,158,163,94.4,+8.8,+7.8,+.057,+9.1,+12.2,+.141,+.102,+0.5,-1.2,+.064,+27.1,"('blackta01', 'hardeja01', 'motiedo01', 'terryja01')"
102,D. Dedmon | E. Fournier | C. Frye | E. Payton,ORL,2014-15,14,52.6,98,101,90.7,+16.1,+16.5,+.112,+9.3,+5.8,+.290,+.159,-14.4,-19.1,-.054,+27.1,"('dedmode01', 'fournev01', 'fryech01', 'paytoel01')"
103,K. Irving | L. James | T. Thompson | D. Waiters,CLE,2014-15,23,96.1,185,186,92.7,+8.3,-1.7,+.102,+1.1,+1.2,+.037,+.109,+9.3,+15.2,-.125,+27.0,"('irvinky01', 'jamesle01', 'thomptr01', 'waitedi01')"
104,I. Canaan | J. Harden | D. Howard | D. Motiejūnas,HOU,2014-15,7,64.6,129,126,94.7,+6.2,-12.3,+.131,+5.3,+4.1,+.153,+.168,+9.1,+14.4,+.039,+26.8,"('canaais01', 'hardeja01', 'howardw01', 'motiedo01')"
105,J. Dudley | O. Mayo | K. Middleton | Z. Pachulia,MIL,2014-15,20,64.9,141,132,101.0,+10.0,-2.1,+.125,+5.2,-4.0,+.249,+.157,+1.5,+1.9,-.003,+26.7,"('dudleja01', 'mayooj01', 'middlkh01', 'pachuza01')"
106,L. James | K. Love | S. Marion | T. Thompson,CLE,2014-15,27,145.5,287,286,94.5,+5.1,+5.6,+.027,+2.4,-1.1,+.135,+.038,+13.9,+13.5,+.128,+26.5,"('jamesle01', 'loveke01', 'mariosh01', 'thomptr01')"
107,A. Brooks | J. Butler | P. Gasol | D. Rose,CHI,2014-15,20,84.4,177,168,98.1,+9.8,+2.5,+.101,+5.4,+8.1,+.125,+.132,+1.5,+3.0,-.035,+26.4,"('brookaa01', 'butleji01', 'gasolpa01', 'rosede01')"
